as_of,ticker,momentum,rev_growth,margin,margin_chg,leverage,rev_asof_end,rev_filed,fwd_63,fwd_126,z_growth,z_margin,z_mchg,z_lowlev,z_mom,fundamental,combined
2024-01-02,JBHT,0.07170659503316701,-0.17573184911797202,0.07640166599604963,-0.017971378852171843,1.0253134440091367,2023-09-30,2023-10-27,0.008644943475369482,-0.1881426159905878,-1.0366364915450297,-0.2427089743802443,-0.3124635060510473,0.4852849059341113,-0.10501344096270941,-0.2766310165105525,-0.19082222873663096
2024-01-02,RIVN,0.07873210633946837,1.4944029850746268,-1.0770381451009723,2.2326633474363415,0.5595147839272175,2023-09-30,2023-11-07,-0.5004739336492892,-0.3056872037914692,4.223924377905843,-3.7723478539152095,5.165890189904557,0.5890395396745721,-0.06722464579636475,1.5516265633924406,0.7422009587980379
2024-01-02,CTAS,0.214347847494625,0.08118150673866142,0.21370003372710078,0.01054778586031016,,2023-08-31,2023-10-05,0.14687994161294227,0.18712241008798602,-0.06885834451230728,0.3381990419668078,-0.24163602312873286,,0.6622248192194711,0.00923489144192255,0.3357298553306968
2024-01-02,COF,0.18964430436740232,0.042402826855123754,,,7.784284862487889,2023-09-30,2023-11-02,0.08447505866323524,0.04776322761335239,-0.21493544835508208,,,-1.020246698349966,0.5293494895220746,-0.6175910733525241,-0.04412079191522472
2024-01-02,OKE,0.1381410256410256,-0.2916245809821577,0.17641441871568395,0.058176939280808235,,2023-09-30,2023-11-01,0.1285553365249228,0.16586876936074346,-1.4731978876005547,0.1804439789423874,-0.12334879120927353,,0.2523238375327926,-0.4720342332891469,-0.10985519787817716
2024-01-02,FCX,0.032630029440628094,0.10453946129214531,0.2544338335607094,0.07323210065432403,1.5171638617169938,2023-09-30,2023-11-03,0.17866476597766678,0.20337372297457823,0.019129755214433768,0.5105433403780699,-0.08595922542691102,0.3757273560360577,-0.3151983326525476,0.2048603065504126,-0.0551690130510675
2024-01-02,GOOG,0.15759787657597868,0.11001273664100042,0.27829136948613303,0.030288706370287494,0.45207941376710276,2023-09-30,2023-10-25,0.12044998566924625,0.3427199770707938,0.03974727530268772,0.611484335514402,-0.19260935196261578,0.6129703029785566,0.3569782779723914,0.26789814045825766,0.3124382092153245
2024-01-02,REGN,0.26028770766895515,0.14525577276752255,0.3303892705266601,-0.08637389274559654,0.2914705835113474,2023-09-30,2023-11-02,0.05077348066298337,0.13159116022099449,0.1725058081730692,0.8319100321154048,-0.48234147875722166,0.648745224176782,0.9093259753362086,0.2927048964270086,0.6010154358816087
2024-01-02,IP,0.1408054948485793,-0.14605701592002962,0.0763060914805983,-0.009588021810775268,,2023-09-30,2023-10-27,0.06923918992884515,0.1915708812260537,-0.9248530656112071,-0.2431133491962138,-0.2916433984613848,,0.2666554750067755,-0.4865366044229353,-0.10994056470807989
2024-01-02,DECK,0.26816216399291015,0.24701866347500157,0.20571074276472265,0.05972061469459128,,2023-09-30,2023-11-02,0.33641947832279895,0.3883023235110834,0.5558408881154874,0.30439643206203687,-0.11951506588423053,,0.9516810729367731,0.24690741809776454,0.5992942455172688
2024-01-02,ACGL,0.021083930260846095,0.3950765406292469,,,2.6239254544261437,2023-09-30,2023-11-09,0.2207809397749836,0.2925215089344806,1.113566575548776,,,0.129201005639619,-0.3773024497555607,0.6213837905941975,0.12204067041931838
2024-01-02,CNP,-0.014940577249575426,-0.022035676810073457,0.2778969957081545,0.07642795058748295,,2023-09-30,2023-10-26,-0.02964495001723555,0.045501551189244926,-0.4576716637095929,0.6098157440165514,-0.07802231672551332,,-0.5710709423147797,0.024707254527148382,-0.27318184389381567
2024-01-02,SNAP,0.34276206322795355,0.053235514091571234,-0.31977003931678155,0.06592004181919298,2.097809845965999,2023-09-30,2023-10-25,-0.30916976456009915,-0.024163568773234223,-0.174129325426524,-1.9189074847435816,-0.10411875876154392,0.2463909783443964,1.3529387449719088,-0.4876911476468133,0.43262379866254774
2024-01-02,CSCO,-0.0252798147433424,0.07599765258215951,0.2915189528224707,0.03183585423092139,1.1849590798495908,2023-10-28,2023-11-21,-0.0350425658285487,-0.0677093644822806,-0.0883856312636697,0.6674501078972839,-0.18876700279909409,0.4497245321194331,-0.6266835960838678,0.2100055014884883,-0.20833904729768976
2024-01-02,PODD,-0.2622164202801397,0.5349414686058886,0.12664663739311302,0.1163593014583844,3.0620576131687245,2023-09-30,2023-11-03,-0.21161111376787334,-0.059251111855004646,1.6404298847012753,-0.03012300451017841,0.021147385486553216,0.03160896522400419,-1.9011173651973519,0.41576580772541355,-0.7426757787359691
2024-01-02,MMM,0.08760134467075331,-0.035618981320338805,-0.3192974013474495,-0.8014879106872801,9.608304794520548,2023-09-30,2023-10-24,-0.15281818181818185,-0.07618181818181813,-0.5088392070461157,-1.9169077582373437,-0.8924146179798164,-1.4265392367399767,-0.019518818281460914,-1.1861752050008132,-0.6028470116411371
2024-01-02,MOD,0.737648078590003,0.07204561161022816,0.10588235294117647,0.042302532623277364,1.395952023988006,2023-09-30,2023-11-02,0.5593614898570003,0.7953109411373462,-0.1032727471010707,-0.11797648369697027,-0.16277295660027635,0.40272676781274147,3.22875343769999,0.004676145103606033,1.6167147914017979
2024-01-02,CARR,0.1280975219824141,0.05136672170243983,0.11254580352469028,-0.16740282975360726,2.122088920254058,2023-09-30,2023-10-26,0.008680248007085778,0.1241806908768821,-0.18116896114149902,-0.08978349113293567,-0.6835772340820031,0.24098291972123076,0.1983018758618617,-0.17838669165880178,0.009957592101529966
2024-01-02,ORLY,-0.0022173300178970345,0.10655477688075576,0.21345250726796056,0.0017455685094275308,,2023-09-30,2023-11-08,0.1989079191733203,0.07995365005793742,0.026721335572443515,0.33715176000163377,-0.2634963723143904,,-0.5026351854671012,0.03345890775322896,-0.2345881388569361
2024-01-02,HUBS,0.041024569137515066,0.2558778082611419,-0.036663516017196446,0.035895149442148805,1.373392428302534,2023-09-30,2023-11-08,0.14390537728616803,0.081133866316212,0.5892127877461548,-0.721086625088316,-0.17868572359094084,0.4077518200257886,-0.27004581245990505,0.024298064773171646,-0.1228738738433667
2024-01-02,LPLA,0.04643780327422786,0.16611898525143576,,,3.5381151140253366,2023-09-30,2023-10-31,0.1411917659804982,0.21070422535211275,0.2510963549802143,,,-0.07443078085875653,-0.24092912798510677,0.08833278706072889,-0.07629817046218894
2024-01-02,CAH,0.08489269478803263,0.10402596617140092,-0.00025564706097182407,-0.003017576782964445,,2023-09-30,2023-11-03,0.0809783667900994,-0.06743324887936075,0.01719544800487918,-0.5670452968169334,-0.27532566658911867,,-0.03408809461351508,-0.27505850513372426,-0.15457329987361967
2024-01-02,SPGI,0.09944069333870798,0.07794477455435156,0.34824902723735407,0.05010152636353371,0.6080634687597053,2023-09-30,2023-11-02,-0.022754875226288385,0.02990444327321895,-0.08105093241933921,0.9074744835703059,-0.14340411808350587,0.5782255304361386,0.04416262812301568,0.31531124087589985,0.17973693449945777
2024-01-02,PLD,0.08696003229713378,0.09353632319983185,0.46071164444518725,-0.0618619923068226,0.6280977915677302,2023-09-30,2023-10-27,-0.06336354182142323,-0.1583717129698411,-0.02231844649161755,1.3833026886322457,-0.42146605595913095,0.5737629718173155,-0.02296830699022069,0.3783202894997032,0.17767599125474126
2024-01-02,COR,0.09228996438298775,0.1145839959879198,0.010009822241140658,0.001896940578944982,,2023-06-30,2023-08-02,0.1786707586074614,0.06694159393881272,0.05696695189605398,-0.5236121991937845,-0.26312043905067983,,0.0057003127104141476,-0.24325522878280345,-0.11877745803619465
2024-01-02,MET,0.17580307262569828,0.08414872798434447,,1.6937307042890337,24.40661781900382,2023-09-30,2023-11-02,0.09235337787676312,0.04172234595397173,-0.05768098913734684,,3.9385568616216586,-4.557716284458021,0.4549003215778097,-0.22561347065790294,0.11464342545995337
2024-01-02,AIG,0.18812564722126357,-0.12518833036570332,0.27837795522154374,0.09566325860464195,11.962484993997599,2023-09-30,2023-11-02,0.1301568855316675,0.09166182452062754,-0.8462419020559551,0.6118506788922046,-0.03025133662052768,-1.9509226781024513,0.5211809418788775,-0.5538913094716824,-0.01635518379640244
