as_of,ticker,sector,momentum,rev_growth,rev_accel,margin,margin_chg,margin_accel,leverage,fwd_63,fwd_126,z_rev_growth,sn_rev_growth,z_rev_accel,sn_rev_accel,z_margin_chg,sn_margin_chg,z_margin_accel,sn_margin_accel,z_margin,z_lowlev,sn_margin,sn_lowlev,z_mom,IMPROVEMENT,IMPROVEMENT_sn,LEVELS,LEVELS_sn,IMPROV_plus_MOM
2018-11-30,USO,Thematic Proxies,-0.18216463414634143,-0.8093174310935727,1.2037996006917975,,,,,0.09506057781919841,0.0037278657968311535,,,,,,,,,,,,,,,,,,
2019-01-03,USO,Thematic Proxies,-0.33310991957104563,-0.8093174310935727,1.2037996006917975,,,,,0.2984924623115579,0.20100502512562812,,,,,,,,,,,,,,,,,,
2019-02-04,USO,Thematic Proxies,-0.1991643454038997,-0.8093174310935727,1.2037996006917975,,,,,0.13652173913043475,-0.011304347826087024,,,,,,,,,,,,,,,,,,
2019-06-05,USO,Thematic Proxies,0.0037278657968311535,1.429939959023939,,,,,,0.08727948003714037,0.09192200557103059,,,,,,,,,,,,,,,,,,
2019-07-05,USO,Thematic Proxies,0.20100502512562812,1.429939959023939,,,,,,-0.08535564853556488,0.102928870292887,,,,,,,,,,,,,,,,,,
2019-08-05,USO,Thematic Proxies,-0.011304347826087024,1.429939959023939,,,,,,0.028144239226033374,-0.08179419525065956,,,,,,,,,,,,,,,,,,
2021-03-05,USO,Thematic Proxies,0.4882786336235767,2.4309949563748474,,,,,,0.06345634563456337,0.10148514851485158,,,,,,,,,,,,,,,,,,
2021-04-06,USO,Thematic Proxies,0.5445920303605314,2.4309949563748474,,,,,,0.22604422604422592,0.33882063882063873,,,,,,,,,,,,,,,,,,
2021-05-05,USO,Thematic Proxies,0.7006854531607005,2.4309949563748474,,,,,,0.05687416032243631,0.288177339901478,,,,,,,,,,,,,,,,,,
2021-12-02,USO,Thematic Proxies,0.021794329242488475,0.5309833703048714,2.2520350919167935,,,,,0.6454752536757091,0.8527645475253676,,,,,,,,,,,,,,,,,,
2022-01-03,USO,Thematic Proxies,0.09879759519038078,0.5309833703048714,2.2520350919167935,,,,,0.4017873426956047,0.343607514134598,,,,,,,,,,,,,,,,,,
2022-02-02,USO,Thematic Proxies,0.3245762711864406,0.5309833703048714,2.2520350919167935,,,,,0.28310940499040305,0.14411388355726173,,,,,,,,,,,,,,,,,,
