as_of,field,attention,character,trend_21d,vol_pctile,disp_pctile,coh_pctile,fwd_ret_21,fwd_ret_63,fwd_vol_21,fwd_disp_21,fwd_ret_21_dm,fwd_ret_63_dm
2024-08-13,Industrials,0.683,STRESS,-0.0492,0.9801587301587301,0.9166666666666666,0.5,0.020987393140657673,0.19508830202945315,0.2348427094472025,0.022348569664417235,-0.0036932950642685203,0.04917303707323689
2024-08-13,Consumer Discretionary,0.62,STRESS,-0.0307,0.9841269841269841,0.9761904761904762,0.34375,0.026538219870124724,0.13986801981621588,0.2007364497145165,0.022604639669129144,0.0018575316651985307,-0.006047245140000379
2024-08-13,Finance,0.485,VOLATILE,-0.0128,0.9682539682539683,0.7579365079365079,0.625,0.03132369494361131,0.19996083901250583,0.17169619802437855,0.015909770063518437,0.00664300673868512,0.05404557405628957
2024-08-13,Technology,0.697,STRESS,-0.0714,1.0,0.8412698412698413,0.28125,0.025244500472191067,0.221128180833283,0.26203184365741444,0.030664375037100556,0.0005638122672648738,0.07521291587706674
2024-08-13,Real Estate,0.509,MIXED,0.004,0.8333333333333334,0.7698412698412699,0.21875,0.05105544928943373,0.07928148893060638,0.11321274602263673,0.01271475983036274,0.026374761084507536,-0.06663377602560988
2024-08-13,Health Care,0.548,VOLATILE,-0.004,0.9523809523809523,0.8214285714285714,0.3125,0.05816570017141798,0.22321677248093064,0.20137630812415644,0.03280466175035349,0.033485011966491784,0.07730150752471437
2024-08-13,Consumer Staples,0.552,VOLATILE,0.021,0.9801587301587301,0.8888888888888888,0.375,0.009476094172626182,0.041393798226885936,0.0920952195712374,0.01652968062888589,-0.015204594032300012,-0.10452146672933033
2024-08-13,Telecommunications,0.702,MOMENTUM,0.0371,1.0,0.996031746031746,0.3125,0.04611217502820453,0.16469131250624924,0.19426266815164822,0.02923091975609727,0.021431486823278334,0.01877604755003298
2024-08-13,Utilities,0.475,MIXED,0.0269,0.6785714285714286,0.9880952380952381,0.25,0.030021191889697985,0.09999060349513744,0.09488938458624409,0.013960550566020802,0.005340503684771791,-0.04592466146107882
2024-08-13,Basic Materials,0.584,STRESS,-0.0693,0.9920634920634921,0.6111111111111112,0.75,0.0674787319038912,0.12629138872552637,0.3480577776264198,0.026666580153684387,0.042798043698965005,-0.019623876230689896
2024-08-13,Miscellaneous,0.65,STRESS,-0.0647,0.9920634920634921,0.7222222222222222,0.125,-0.008134319574890858,0.20282168447944104,0.28439919512167566,0.0352794316174971,-0.03281500777981705,0.05690641952322478
2024-08-13,Energy,0.756,STRESS,-0.0664,0.9404761904761905,0.9920634920634921,0.28125,-0.06972956678694375,0.037955033405717487,0.23710576561404334,0.018049455112271226,-0.09441025499186995,-0.10796023155049878
2024-08-13,Thematic Proxies,0.732,STRESS,-0.062,0.996031746031746,0.9484126984126984,0.4507042253521127,0.021136209687093732,0.14115774920707969,0.23314225509208567,0.012404643327185879,-0.003544478517832461,-0.004757515749136576
2024-08-13,Biotechnology: Pharmaceutical Preparations [sub],0.577,MIXED,-0.0361,0.8174603174603174,0.03571428571428571,0.40625,0.07183813248581683,0.3408737996898896,0.2202216629540298,0.035266704268854386,0.04715744428089064,0.19495853473367336
2024-08-13,Major Banks [sub],0.586,VOLATILE,-0.0124,0.8928571428571429,0.8888888888888888,0.78125,0.03345422526065511,0.23493547495763112,0.23428242822808232,0.009637611846231511,0.00877353705572892,0.08902021000141486
2024-08-13,Computer Software: Prepackaged Software [sub],0.575,STRESS,-0.0343,0.9841269841269841,0.7936507936507936,0.09375,0.03304780106996996,0.2591359230956838,0.224335151630235,0.029576913603290282,0.008367112865043769,0.11322065813946752
2024-08-13,Real Estate Investment Trusts [sub],0.458,MIXED,0.0059,0.6111111111111112,0.7698412698412699,0.1875,0.06049164373199312,0.06184817161361922,0.10813974808567006,0.011283906907731905,0.03581095552706692,-0.08406709334259704
2024-08-13,Industrial Machinery/Components [sub],0.649,STRESS,-0.044,0.9880952380952381,0.9007936507936508,0.59375,0.01000324893278326,0.20546613393771818,0.2496575028499635,0.02450823408258631,-0.014677439272142934,0.059550868981501914
2024-08-13,Semiconductors [sub],0.617,STRESS,-0.1726,1.0,0.7619047619047619,0.46875,0.0014544994796090727,0.11817929864501453,0.44290608338295895,0.02562883725611941,-0.02322618872531712,-0.027735966311201732
2024-08-13,Oil & Gas Production [sub],0.642,STRESS,-0.0762,0.9365079365079365,0.996031746031746,0.34375,-0.07103720608802366,0.035775218738656855,0.2457030613005124,0.01668053693776931,-0.09571789429294986,-0.1101400462175594
2024-08-13,EDP Services [sub],0.57,STRESS,-0.0488,0.9682539682539683,0.7142857142857143,0.21875,0.04706588226113739,0.29377764283460106,0.20563916720215364,0.03036983407544776,0.0223851940562112,0.1478623778783848
2024-08-13,Finance: Consumer Services [sub],0.352,STRESS,-0.0716,0.9841269841269841,0.4880952380952381,0.46875,0.026177440295211296,0.39135317358640687,0.30919627735571453,0.028946968997772115,0.0014967520902851028,0.2454379086301906
2024-08-13,Biotechnology: Biological Products (No Diagnostic Substances) [sub],0.465,STRESS,-0.0654,0.9246031746031746,0.32142857142857145,0.5,0.04892527719548889,0.22838496535756958,0.2879193030949153,0.036296935970196884,0.0242445889905627,0.08246970040135332
