as_of,ticker,sector,momentum,leverage,rev_growth,rev_accel,margin,margin_chg,margin_accel,market_cap,earnings_yield,book_to_price,sales_to_price,fwd_63,fwd_126,z_rev_growth,sn_rev_growth,z_rev_accel,sn_rev_accel,z_margin_chg,sn_margin_chg,z_margin_accel,sn_margin_accel,z_earnings_yield,sn_earnings_yield,z_book_to_price,sn_book_to_price,z_sales_to_price,sn_sales_to_price,z_margin,sn_margin,z_lowlev,sn_lowlev,z_mom,z_IMPROVEMENT,z_VALUE,z_LEVELS,z_IMPROV_VALUE,z_LEVELS_VALUE,sn_IMPROVEMENT,sn_VALUE,sn_LEVELS,sn_IMPROV_VALUE,sn_LEVELS_VALUE,z_ALL
2018-11-30,USO,Thematic Proxies,-0.18216463414634143,,-0.8093174310935727,1.2037996006917975,,,,10996104000.0,0.07254396202509543,,0.07388108279077753,0.09506057781919841,0.0037278657968311535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,USO,Thematic Proxies,-0.33310991957104563,,-0.8093174310935727,1.2037996006917975,,,,10196760000.0,0.07823082537982654,,0.07967276566281839,0.2984924623115579,0.20100502512562812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-04,USO,Thematic Proxies,-0.1991643454038997,,-0.8093174310935727,1.2037996006917975,,,,11785200000.0,0.06768667065471948,,0.06893426246478634,0.13652173913043475,-0.011304347826087024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-05,USO,Thematic Proxies,0.0037278657968311535,,1.429939959023939,,,,,10261656000.0,-0.004022240757242301,,,0.08727948003714037,0.09192200557103059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,USO,Thematic Proxies,0.20100502512562812,,1.429939959023939,,,,,11385960000.0,-0.003625065519288668,,,-0.08535564853556488,0.102928870292887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-05,USO,Thematic Proxies,-0.011304347826087024,,1.429939959023939,,,,,10833336000.0,-0.003809985308311309,,,0.028144239226033374,-0.08179419525065956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,USO,Thematic Proxies,0.4882786336235767,,2.4309949563748474,,,,,3929544917.3199997,-0.4848351702515614,,,0.06345634563456337,0.10148514851485158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,USO,Thematic Proxies,0.5445920303605314,,2.4309949563748474,,,,,3598840642.1000004,-0.5293875913017049,,,0.22604422604422592,0.33882063882063873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,USO,Thematic Proxies,0.7006854531607005,,2.4309949563748474,,,,,3948998109.9799995,-0.48244681965918923,,,0.05687416032243631,0.288177339901478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-02,USO,Thematic Proxies,0.021794329242488475,,0.5309833703048714,2.2520350919167935,,,,2386665788.87,0.8655327941739392,,0.8763070454829903,0.6454752536757091,0.8527645475253676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
