date,value,retrieved_at
1879-07-01,4.04,2026-08-09T06:39:58.075864+00:00
1879-08-01,4.07,2026-08-09T06:39:58.075864+00:00
1879-09-01,4.22,2026-08-09T06:39:58.075864+00:00
1879-10-01,4.68,2026-08-09T06:39:58.075864+00:00
1879-11-01,4.93,2026-08-09T06:39:58.075864+00:00
1879-12-01,4.92,2026-08-09T06:39:58.075864+00:00
1880-01-01,5.11,2026-08-09T06:39:58.075864+00:00
1880-02-01,5.2,2026-08-09T06:39:58.075864+00:00
1880-03-01,5.3,2026-08-09T06:39:58.075864+00:00
1880-04-01,5.18,2026-08-09T06:39:58.075864+00:00
1880-05-01,4.77,2026-08-09T06:39:58.075864+00:00
1880-06-01,4.79,2026-08-09T06:39:58.075864+00:00
1880-07-01,5.01,2026-08-09T06:39:58.075864+00:00
1880-08-01,5.19,2026-08-09T06:39:58.075864+00:00
1880-09-01,5.18,2026-08-09T06:39:58.075864+00:00
1880-10-01,5.33,2026-08-09T06:39:58.075864+00:00
1880-11-01,5.61,2026-08-09T06:39:58.075864+00:00
1880-12-01,5.84,2026-08-09T06:39:58.075864+00:00
1881-01-01,6.19,2026-08-09T06:39:58.075864+00:00
1881-02-01,6.17,2026-08-09T06:39:58.075864+00:00
1881-03-01,6.24,2026-08-09T06:39:58.075864+00:00
1881-04-01,6.22,2026-08-09T06:39:58.075864+00:00
1881-05-01,6.5,2026-08-09T06:39:58.075864+00:00
1881-06-01,6.58,2026-08-09T06:39:58.075864+00:00
1881-07-01,6.35,2026-08-09T06:39:58.075864+00:00
1881-08-01,6.2,2026-08-09T06:39:58.075864+00:00
1881-09-01,6.25,2026-08-09T06:39:58.075864+00:00
1881-10-01,6.15,2026-08-09T06:39:58.075864+00:00
1881-11-01,6.19,2026-08-09T06:39:58.075864+00:00
1881-12-01,6.01,2026-08-09T06:39:58.075864+00:00
1882-01-01,5.92,2026-08-09T06:39:58.075864+00:00
1882-02-01,5.79,2026-08-09T06:39:58.075864+00:00
1882-03-01,5.78,2026-08-09T06:39:58.075864+00:00
1882-04-01,5.78,2026-08-09T06:39:58.075864+00:00
1882-05-01,5.71,2026-08-09T06:39:58.075864+00:00
1882-06-01,5.68,2026-08-09T06:39:58.075864+00:00
1882-07-01,6.0,2026-08-09T06:39:58.075864+00:00
1882-08-01,6.18,2026-08-09T06:39:58.075864+00:00
1882-09-01,6.24,2026-08-09T06:39:58.075864+00:00
1882-10-01,6.07,2026-08-09T06:39:58.075864+00:00
1882-11-01,5.81,2026-08-09T06:39:58.075864+00:00
1882-12-01,5.84,2026-08-09T06:39:58.075864+00:00
1883-01-01,5.81,2026-08-09T06:39:58.075864+00:00
1883-02-01,5.68,2026-08-09T06:39:58.075864+00:00
1883-03-01,5.75,2026-08-09T06:39:58.075864+00:00
1883-04-01,5.87,2026-08-09T06:39:58.075864+00:00
1883-05-01,5.77,2026-08-09T06:39:58.075864+00:00
1883-06-01,5.82,2026-08-09T06:39:58.075864+00:00
1883-07-01,5.73,2026-08-09T06:39:58.075864+00:00
1883-08-01,5.47,2026-08-09T06:39:58.075864+00:00
1883-09-01,5.53,2026-08-09T06:39:58.075864+00:00
1883-10-01,5.38,2026-08-09T06:39:58.075864+00:00
1883-11-01,5.46,2026-08-09T06:39:58.075864+00:00
1883-12-01,5.34,2026-08-09T06:39:58.075864+00:00
1884-01-01,5.18,2026-08-09T06:39:58.075864+00:00
1884-02-01,5.32,2026-08-09T06:39:58.075864+00:00
1884-03-01,5.3,2026-08-09T06:39:58.075864+00:00
1884-04-01,5.06,2026-08-09T06:39:58.075864+00:00
1884-05-01,4.65,2026-08-09T06:39:58.075864+00:00
1884-06-01,4.46,2026-08-09T06:39:58.075864+00:00
1884-07-01,4.46,2026-08-09T06:39:58.075864+00:00
1884-08-01,4.74,2026-08-09T06:39:58.075864+00:00
1884-09-01,4.59,2026-08-09T06:39:58.075864+00:00
1884-10-01,4.44,2026-08-09T06:39:58.075864+00:00
1884-11-01,4.35,2026-08-09T06:39:58.075864+00:00
1884-12-01,4.34,2026-08-09T06:39:58.075864+00:00
1885-01-01,4.24,2026-08-09T06:39:58.075864+00:00
1885-02-01,4.37,2026-08-09T06:39:58.075864+00:00
1885-03-01,4.38,2026-08-09T06:39:58.075864+00:00
1885-04-01,4.37,2026-08-09T06:39:58.075864+00:00
1885-05-01,4.32,2026-08-09T06:39:58.075864+00:00
1885-06-01,4.3,2026-08-09T06:39:58.075864+00:00
1885-07-01,4.46,2026-08-09T06:39:58.075864+00:00
1885-08-01,4.71,2026-08-09T06:39:58.075864+00:00
1885-09-01,4.65,2026-08-09T06:39:58.075864+00:00
1885-10-01,4.92,2026-08-09T06:39:58.075864+00:00
1885-11-01,5.24,2026-08-09T06:39:58.075864+00:00
1885-12-01,5.2,2026-08-09T06:39:58.075864+00:00
1886-01-01,5.2,2026-08-09T06:39:58.075864+00:00
1886-02-01,5.3,2026-08-09T06:39:58.075864+00:00
1886-03-01,5.19,2026-08-09T06:39:58.075864+00:00
1886-04-01,5.12,2026-08-09T06:39:58.075864+00:00
1886-05-01,5.02,2026-08-09T06:39:58.075864+00:00
1886-06-01,5.25,2026-08-09T06:39:58.075864+00:00
1886-07-01,5.33,2026-08-09T06:39:58.075864+00:00
1886-08-01,5.37,2026-08-09T06:39:58.075864+00:00
1886-09-01,5.51,2026-08-09T06:39:58.075864+00:00
1886-10-01,5.65,2026-08-09T06:39:58.075864+00:00
1886-11-01,5.79,2026-08-09T06:39:58.075864+00:00
1886-12-01,5.64,2026-08-09T06:39:58.075864+00:00
1887-01-01,5.58,2026-08-09T06:39:58.075864+00:00
1887-02-01,5.54,2026-08-09T06:39:58.075864+00:00
1887-03-01,5.67,2026-08-09T06:39:58.075864+00:00
1887-04-01,5.8,2026-08-09T06:39:58.075864+00:00
1887-05-01,5.9,2026-08-09T06:39:58.075864+00:00
1887-06-01,5.73,2026-08-09T06:39:58.075864+00:00
1887-07-01,5.59,2026-08-09T06:39:58.075864+00:00
1887-08-01,5.45,2026-08-09T06:39:58.075864+00:00
1887-09-01,5.38,2026-08-09T06:39:58.075864+00:00
1887-10-01,5.2,2026-08-09T06:39:58.075864+00:00
1887-11-01,5.3,2026-08-09T06:39:58.075864+00:00
1887-12-01,5.27,2026-08-09T06:39:58.075864+00:00
1888-01-01,5.31,2026-08-09T06:39:58.075864+00:00
1888-02-01,5.28,2026-08-09T06:39:58.075864+00:00
1888-03-01,5.08,2026-08-09T06:39:58.075864+00:00
1888-04-01,5.1,2026-08-09T06:39:58.075864+00:00
1888-05-01,5.17,2026-08-09T06:39:58.075864+00:00
1888-06-01,5.01,2026-08-09T06:39:58.075864+00:00
1888-07-01,5.14,2026-08-09T06:39:58.075864+00:00
1888-08-01,5.25,2026-08-09T06:39:58.075864+00:00
1888-09-01,5.38,2026-08-09T06:39:58.075864+00:00
1888-10-01,5.35,2026-08-09T06:39:58.075864+00:00
1888-11-01,5.24,2026-08-09T06:39:58.075864+00:00
1888-12-01,5.14,2026-08-09T06:39:58.075864+00:00
1889-01-01,5.24,2026-08-09T06:39:58.075864+00:00
1889-02-01,5.3,2026-08-09T06:39:58.075864+00:00
1889-03-01,5.19,2026-08-09T06:39:58.075864+00:00
1889-04-01,5.18,2026-08-09T06:39:58.075864+00:00
1889-05-01,5.32,2026-08-09T06:39:58.075864+00:00
1889-06-01,5.41,2026-08-09T06:39:58.075864+00:00
1889-07-01,5.3,2026-08-09T06:39:58.075864+00:00
1889-08-01,5.37,2026-08-09T06:39:58.075864+00:00
1889-09-01,5.5,2026-08-09T06:39:58.075864+00:00
1889-10-01,5.4,2026-08-09T06:39:58.075864+00:00
1889-11-01,5.35,2026-08-09T06:39:58.075864+00:00
1889-12-01,5.32,2026-08-09T06:39:58.075864+00:00
1890-01-01,5.38,2026-08-09T06:39:58.075864+00:00
1890-02-01,5.32,2026-08-09T06:39:58.075864+00:00
1890-03-01,5.28,2026-08-09T06:39:58.075864+00:00
1890-04-01,5.39,2026-08-09T06:39:58.075864+00:00
1890-05-01,5.62,2026-08-09T06:39:58.075864+00:00
1890-06-01,5.58,2026-08-09T06:39:58.075864+00:00
1890-07-01,5.54,2026-08-09T06:39:58.075864+00:00
1890-08-01,5.41,2026-08-09T06:39:58.075864+00:00
1890-09-01,5.32,2026-08-09T06:39:58.075864+00:00
1890-10-01,5.08,2026-08-09T06:39:58.075864+00:00
1890-11-01,4.71,2026-08-09T06:39:58.075864+00:00
1890-12-01,4.6,2026-08-09T06:39:58.075864+00:00
1891-01-01,4.84,2026-08-09T06:39:58.075864+00:00
1891-02-01,4.9,2026-08-09T06:39:58.075864+00:00
1891-03-01,4.81,2026-08-09T06:39:58.075864+00:00
1891-04-01,4.97,2026-08-09T06:39:58.075864+00:00
1891-05-01,4.95,2026-08-09T06:39:58.075864+00:00
1891-06-01,4.85,2026-08-09T06:39:58.075864+00:00
1891-07-01,4.77,2026-08-09T06:39:58.075864+00:00
1891-08-01,4.93,2026-08-09T06:39:58.075864+00:00
1891-09-01,5.33,2026-08-09T06:39:58.075864+00:00
1891-10-01,5.33,2026-08-09T06:39:58.075864+00:00
1891-11-01,5.25,2026-08-09T06:39:58.075864+00:00
1891-12-01,5.41,2026-08-09T06:39:58.075864+00:00
