date,value,retrieved_at
1887-04-01,17.82,2026-08-09T06:38:28.491494+00:00
1887-05-01,18.08,2026-08-09T06:38:28.491494+00:00
1887-06-01,17.71,2026-08-09T06:38:28.491494+00:00
1887-07-01,17.43,2026-08-09T06:38:28.491494+00:00
1887-08-01,16.74,2026-08-09T06:38:28.491494+00:00
1887-09-01,16.68,2026-08-09T06:38:28.491494+00:00
1887-10-01,15.88,2026-08-09T06:38:28.491494+00:00
1887-11-01,15.95,2026-08-09T06:38:28.491494+00:00
1887-12-01,15.46,2026-08-09T06:38:28.491494+00:00
1888-01-01,15.36,2026-08-09T06:38:28.491494+00:00
1888-02-01,15.42,2026-08-09T06:38:28.491494+00:00
1888-03-01,14.81,2026-08-09T06:38:28.491494+00:00
1888-04-01,15.02,2026-08-09T06:38:28.491494+00:00
1888-05-01,15.39,2026-08-09T06:38:28.491494+00:00
1888-06-01,15.08,2026-08-09T06:38:28.491494+00:00
1888-07-01,15.28,2026-08-09T06:38:28.491494+00:00
1888-08-01,15.6,2026-08-09T06:38:28.491494+00:00
1888-09-01,15.99,2026-08-09T06:38:28.491494+00:00
1888-10-01,15.72,2026-08-09T06:38:28.491494+00:00
1888-11-01,15.22,2026-08-09T06:38:28.491494+00:00
1888-12-01,14.95,2026-08-09T06:38:28.491494+00:00
1889-01-01,15.8,2026-08-09T06:38:28.491494+00:00
1889-02-01,16.19,2026-08-09T06:38:28.491494+00:00
1889-03-01,16.07,2026-08-09T06:38:28.491494+00:00
1889-04-01,16.05,2026-08-09T06:38:28.491494+00:00
1889-05-01,16.92,2026-08-09T06:38:28.491494+00:00
1889-06-01,17.22,2026-08-09T06:38:28.491494+00:00
1889-07-01,16.89,2026-08-09T06:38:28.491494+00:00
1889-08-01,17.13,2026-08-09T06:38:28.491494+00:00
1889-09-01,17.35,2026-08-09T06:38:28.491494+00:00
1889-10-01,17.05,2026-08-09T06:38:28.491494+00:00
1889-11-01,16.91,2026-08-09T06:38:28.491494+00:00
1889-12-01,16.61,2026-08-09T06:38:28.491494+00:00
1890-01-01,17.22,2026-08-09T06:38:28.491494+00:00
1890-02-01,17.03,2026-08-09T06:38:28.491494+00:00
1890-03-01,16.9,2026-08-09T06:38:28.491494+00:00
1890-04-01,17.26,2026-08-09T06:38:28.491494+00:00
1890-05-01,17.79,2026-08-09T06:38:28.491494+00:00
1890-06-01,17.68,2026-08-09T06:38:28.491494+00:00
1890-07-01,17.59,2026-08-09T06:38:28.491494+00:00
1890-08-01,16.6,2026-08-09T06:38:28.491494+00:00
1890-09-01,16.17,2026-08-09T06:38:28.491494+00:00
1890-10-01,15.48,2026-08-09T06:38:28.491494+00:00
1890-11-01,14.75,2026-08-09T06:38:28.491494+00:00
1890-12-01,14.44,2026-08-09T06:38:28.491494+00:00
1891-01-01,15.43,2026-08-09T06:38:28.491494+00:00
1891-02-01,15.48,2026-08-09T06:38:28.491494+00:00
1891-03-01,15.05,2026-08-09T06:38:28.491494+00:00
1891-04-01,15.41,2026-08-09T06:38:28.491494+00:00
1891-05-01,15.57,2026-08-09T06:38:28.491494+00:00
1891-06-01,15.66,2026-08-09T06:38:28.491494+00:00
1891-07-01,15.62,2026-08-09T06:38:28.491494+00:00
1891-08-01,16.16,2026-08-09T06:38:28.491494+00:00
1891-09-01,17.71,2026-08-09T06:38:28.491494+00:00
1891-10-01,17.72,2026-08-09T06:38:28.491494+00:00
1891-11-01,17.67,2026-08-09T06:38:28.491494+00:00
